parent_code,code,name
34924330,34998092,Придніпровський відділ ДВС м. Черкаси ГТУЮ у Черкаській області
34924330,36157425,Центральний відділ ДВС м. Черкаси ГТУЮ у Черкаській області
0,2894548,ГТУЮ у Чернівецькій області
2894548,40231939,Чернівецький МВ ДВС ГТУЮ у Чернівецькій області
2894548,34831565,Вижницький РВ ДВС ГТУЮ у Чернівецькій області
2894548,35261338,Герцаївський РВ ДВС ГТУЮ у Чернівецькій області
2894548,34864166,Глибоцький РВ ДВС ГТУЮ у Чернівецькій області
2894548,35039801,Заставнівський РВ ДВС ГТУЮ у Чернівецькій області
2894548,34998291,Кіцманський РВ ДВС ГТУЮ у Чернівецькій області
2894548,32889351,Кельменецький РВ ДВС ГТУЮ у Чернівецькій області
2894548,34831696,Путильський РВ ДВС ГТУЮ у Чернівецькій області
2894548,34091195,Сокирянський РВ ДВС ГТУЮ у Чернівецькій області
2894548,25079942,Сторожинецький РВ ДВС ГТУЮ у Чернівецькій області
2894548,34907644,Хотинський РВ ДВС ГТУЮ у Чернівецькій області
2894548,35039686,Новоселицький РВ ДВС ГТУЮ у Чернівецькій області
2894548,37062193,Новодністровський РВ ДВС ГТУЮ у Чернівецькій області
0,34924518,ГТУЮ у Чернігівській області
34924518,34963578,Бахмацький РВ ДВС ГТУЮ у Чернігівській області
34924518,35052314,Бобровицький РВ ДВС ГТУЮ у Чернігівській області
34924518,34945187,Борзнянський РВ ДВС ГТУЮ у Чернігівській області
34924518,34287219,Варвинський РВ ДВС ГТУЮ у Чернігівській області
34924518,34370867,Городнянський РВ ДВС ГТУЮ у Чернігівській області
34924518,34313678,Ічнянський РВ ДВС ГТУЮ у Чернігівській області
34924518,34978909,Козелецький РВ ДВС ГТУЮ у Чернігівській області
34924518,34653894,Коропський РВ ДВС ГТУЮ у Чернігівській області
34924518,34679048,Корюківський РВ ДВС ГТУЮ у Чернігівській області
34924518,34739709,Куликівський РВ ДВС ГТУЮ у Чернігівській області
34924518,34522623,Менський РВ ДВС ГТУЮ у Чернігівській області
34924518,34878928,Ніжинський МРВ ДВС ГТУЮ у Чернігівській області
34924518,34258104,Новгород-Сіверський МРВ ДВС ГТУЮ у Чернігівській області
34924518,34593956,Носівський РВ ДВС ГТУЮ у Чернігівській області
34924518,34913375,Прилуцький МРВ ДВС ГТУЮ у Чернігівській області
34924518,34404988,Ріпкинський РВ ДВС ГТУЮ у Чернігівській області
34924518,34841264,Семенівський РВ ДВС ГТУЮ у Чернігівській області
34924518,34817231,Сосницький РВ ДВС ГТУЮ у Чернігівській області
34924518,34210057,Срібнянський РВ ДВС ГТУЮ у Чернігівській області
34924518,34271319,Талалаївський РВ ДВС ГТУЮ у Чернігівській області
34924518,34376827,Сновський РВ ДВС ГТУЮ у Чернігівській області
34924518,34831848,Чернігівський РВ ДВС ГТУЮ у Чернігівській області
34924518,35029719,Деснянський відділ ДВС м. Чернігів ГТУЮ у Чернігівській області
34924518,35029699,Новозаводський відділ ДВС м. Чернігів ГТУЮ у Чернігівській області
34924518,36931595,Центральний відділ ДВС ГТУЮ у Чернігівській області
